19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,ID,Type,Display Name,Set,Shop ID,Zone,Level,XP,Tags,Module Name,Description,World x,World y,Prerequisite Flags,Removal Flags,Completion Flags,Battle Loot Items,Adventure Loot Items,First Time Loot,First Time Loot 2,Items Stocked,Rares Stocked,Epics Stocked,Legendaries Stocked,Quest Class Restriction,Quest Race Restriction,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Chest 1,Chest 2,Chest 3,Chest 4,,,,,,
Figure Shop,FIGS,figurestore,Cuthbert's Costumes,,,,1,,,,,832,2295,UNLKCOST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shop 0,SHP0,shop,The Armory,,0,,1,,neverRestock,,,511,2318,TUT1DONE,"TUT2DONE,TUTSHWAD",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Shop 1,SHO1,shop,The Armory,,1,,1,,silentArrival neverRestock,,,511,2318,TUT2DONE,"TUT3DONE,TUTSHWAD",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Shop 2,SHO2,shop,The Armory,,2,,1,,silentArrival dailyRestock mpShop,,,511,2318,TUTSHWT4,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
Tavern 0,TAV0,tavern,The Orc's Head Tavern,,,,1,,,,,644,2247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tutorial 1,TUT1,adventure,Raid on Ommlet,0,,,1,0,XPOnce noClubLoot,Kobolds,,635,2364,TUTSHWT1,ADVLVL05,,1,0,Amber Shards,,,,,,,,Streets,,,,,,,,,,,,,,,,,,,
Tutorial 2,TUT2,adventure,Kobold Encampment,0,,,1,10,XPOnce noClubLoot,Kobolds,,689,2468,TUTAXE,ADVLVL05,,1,0,Kobold Killer,,,,,,,,Kobold Camp,,,,,,,,,,,,,,,,,,,
Tutorial 3,TUT3,adventure,Tunnels into Darkness,0,,,1,10,XPOnce noClubLoot,Kobolds,,670,2571,TUTSHWT3,ADVLVL05,TUTSHWT4,1,0,Orzo's Excellent Wand,Golem Cleaver,,,,,,,Tunnel Intersection,,,,,,,,,,,,,,,,,,,
Tutorial 4,TUT4,adventure,White Skull Canyon,0,,,1,10,XPOnce noClubLoot,Kobolds,,826,2633,TUTSHWT4,ADVLVL05,,2,0,Blessed Demon Claw,Amber Shards,,,,,,,Canyon Gates,Canyon Lair,,,,,,,,,,,,,,,,,,
First Home,HOM1,home,Keep on the Hinterlands,,,,,,,,,474,2197,TUTSHWAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shop 6,SHO6,shop,Randimar's Rarities,,6,,-1,,weeklyRestock mpShop,,,380,2378,UNLKRAND,,,,,,,,10,10,10,,,,,,,,,,,,,,,,,,,,,,
Shop 9,SHO9,shop,The Daily Deal,,9,,-1,,dailyRestock globalStock mpShop,,,485,2449,TUTSHWAD,,,,,,,,10,3,1,,,,,,,,,,,,,,,,,,,,,,
Trog Grotto,TROG,adventure,Caverns of the Troglodytes,0,,,2,10,,Trog Grotto,,239,2411,TUTSHWAD,,"UNLKCHST,UNLKRAND",2,2,,,,,,,Warrior,,Trog Cave,Stench Cavern,,,,,,,,,,,,,,,,,,
Wizard's Workshop,WIZW,adventure,The Wizard's Workshop,0,,,2,10,,Wizard's Workshop,,340,2504,TUTSHWAD,,"UNLKCHST,UNLKRAND",2,2,,,,,,,Wizard,,Workshop Level 1,Workshop Level 2,Workshop Apex,,,,,,,,,,,,,,,,,
Lair of the Trog Wizard,TRWZ,adventure,Lair of the Trog Wizard,0,,,3,10,,Trog Wizard,,312,2269,TROGDONE,,"ADVLVL05,UNLKCOST,UNLKCHST,UNLKRAND",2,2,,,,,,,Warrior,,Scuttler Warren,Trog Lair,,,,,,,,,,,,,,,,,,
Highway Robbery,HIGH,adventure,Highway Robbery,0,,,3,10,,Highway Robbery,,352,2134,TUTSHWAD,,"ADVLVL05,UNLKCOST,UNLKCHST,UNLKRAND",2,2,Imp-proof Robes,,,,,,,,Roadside Ambush,Forest Wagon,"Bluk, Goblin Chieftain",,,,,,,,,,,,,,,,,
Ruby Demon Portal,RUDP,adventure,Ruby Demon Portal,0,,,4,10,,Ruby Demon Portal,,551,2064,TUTSHWAD,,"ADVLVL05,ADVLVL06,UNLKCOST,UNLKCHST,UNLKRAND",2,2,,,,,,,Priest,,Ruby Outer Ring,Ruby Middle Ring,Ruby Portal,,,,,,,,,,,,,,,,,
Lizard Priest,LZRD,adventure,Dungeon of the Lizard Priest,0,,,4,10,,Dungeon of the Lizard Priest,,720,1999,TUTSHWAD,,"ADVLVL05,ADVLVL06,UNLKCOST,UNLKCHST,UNLKRAND",2,2,Lizard Fryer,,,,,,,Elf,Sewer Lizards,Slime Tunnels,Lizard Guards,,,,,,,,,,,,,,,,,
Rescue,RESC,adventure,Rescue From Shieldhaven Prison,0,,,5,10,,Rescue,,876,2191,ADVLVL05,,"ADVLVL06,ADVLVL07,UNLKCOST",2,2,,,,,,,,,Prison Corridor,Prison Guardhouse,Prison Dog Yard,Prison Warden,,,,,,,,,,,,,,,,
Slub Gut,SLUB,adventure,Slub Gut's Sanctum,0,,,5,10,,Slub'Gut's Sanctum,,853,2089,LZRDDONE,,"ADVLVL06,ADVLVL07,UNLKCOST",2,2,,,,,,,,Elf,Lizard Feast Hall,SlubGut,,,,,,,,,,,,,,,,,,
Diamonds,DMND,adventure,Diamonds of the Kobolds,0,,,6,10,,Diamonds of the Kobolds,,393,2029,ADVLVL06,,"ADVLVL07,ADVLVL08",2,2,Trogsbane,,,,,,,,Gashstone Pass,Mine Entrance,Mineshaft,,,,,,,,,,,,,,,,,
Shop 4,SHO4,shop,Kyburz Market,,4,,7,,dailyRestock mpShop,,,539,1957,ADVLVL06,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
White Star,WHST,adventure,The White Star,0,,,6,10,,The White Star,,340,1937,DMNDDONE,,"ADVLVL07,ADVLVL08",2,2,White Star Diamond,,,,,,,,Gleaming Cavern,The Winding Shaft,Mother Lode,,,,,,,,,,,,,,,,,
Woodhome,WOOD,adventure,The Defense of Woodhome,0,,,6,0,locked treasureHunt,Woodhome,,333,1849,ADVLVL06,,,2,2,Woodhome's Wound,,,,,,,Human,Woodhome Gates,Woodhome Chapel,Woodhome Walls,,,,,,,,,,,,,,,,,
Forest of Souls,SOUL,adventure,Forest of Souls,0,,,7,0,locked treasureHunt,Forest of Souls,,470,1795,ADVLVL07,,,2,2,Oakenheart Shield,,,,,,,,Forest Border,Sunlit Field,Sparkler Glade,,,,,,,,,,,,,,,,,
